"Team","Year","Player.(53)","Pos","Age","Cap.Hit","Cap.Hit.Pct","Dead.Cap","Base.Salary","Cap_Hit","Cap.Hit.Pct.League.Cap","Base.P5.Salary","Signing.Bonus.Proration","Per.Game.Bonus","Roster.Bonus","Option.Bonus","Workout.Bonus","Restructure.Proration","Incentives.Likely","Player.(55)","Player.Name","Player.(54)","Player.(52)"
"Seattle Seahawks",2021,"Wilson Russell Wilson","QB",33,"$32,000,000","17.53%","($58,000,000)","$19,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Lockett Tyler Lockett","WR",29,"$8,050,000","4.41%","($39,250,000)","$2,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Wagner Bobby Wagner","ILB",31,"$17,150,000","9.40%","($20,650,000)","$13,150,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Jackson Gabe Jackson","G",30,"$4,075,000","2.23%","($10,075,000)","$1,075,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Brooks Jordyn Brooks","OLB",24,"$2,780,820","1.52%","($10,010,952)","$1,166,164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Dunlap Carlos Dunlap","DE",32,"$2,900,000","1.59%","($8,500,000)","$1,500,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Dickson Michael Dickson","P",25,"$2,372,540","1.30%","($7,572,540)","$1,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Ford Poona Ford","DT",26,"$2,670,000","1.46%","($7,500,000)","$920,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Diggs Quandre Diggs","FS",28,"$3,625,000","1.99%","($6,150,000)","$1,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seattle Seahawks",2021,"Brown Duane Brown","LT",36,"$9,850,000","5.40%","($6,000,000)","$4,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
