"Team","Year","Position_Group","Position_Group_Spending","Wins"
"Arizona Cardinals",2021,"CB",3055065,11
"Arizona Cardinals",2021,"DL",17164637,11
"Arizona Cardinals",2021,"EDGE",32390990,11
"Arizona Cardinals",2021,"MLB",16822684,11
"Arizona Cardinals",2021,"OL",35288894,11
"Arizona Cardinals",2021,"QB",11081775,11
"Arizona Cardinals",2021,"RB",4368770,11
"Arizona Cardinals",2021,"S",12119144,11
"Arizona Cardinals",2021,"ST",4307009,11
"Arizona Cardinals",2021,"TE",7540833,11
"Arizona Cardinals",2021,"WR",9836440,11
"Arizona Cardinals",2022,"CB",3055065,4
"Arizona Cardinals",2022,"DL",17164637,4
"Arizona Cardinals",2022,"EDGE",32390990,4
"Arizona Cardinals",2022,"MLB",16822684,4
"Arizona Cardinals",2022,"OL",35288894,4
"Arizona Cardinals",2022,"QB",11081775,4
"Arizona Cardinals",2022,"RB",4368770,4
"Arizona Cardinals",2022,"S",12119144,4
"Arizona Cardinals",2022,"ST",4307009,4
"Arizona Cardinals",2022,"TE",7540833,4
"Arizona Cardinals",2022,"WR",9836440,4
"Arizona Cardinals",2023,"CB",5197796,4
"Arizona Cardinals",2023,"DL",5299624,4
"Arizona Cardinals",2023,"EDGE",6127131,4
"Arizona Cardinals",2023,"MLB",7293512,4
"Arizona Cardinals",2023,"OL",18486323,4
"Arizona Cardinals",2023,"QB",16844656,4
"Arizona Cardinals",2023,"RB",10626036,4
"Arizona Cardinals",2023,"S",24427806,4
"Arizona Cardinals",2023,"ST",4555670,4
"Arizona Cardinals",2023,"TE",2765078,4
"Arizona Cardinals",2023,"WR",5699240,4
"Arizona Cardinals",2024,"CB",10743955,6
"Arizona Cardinals",2024,"DL",15893873,6
"Arizona Cardinals",2024,"EDGE",10343823,6
"Arizona Cardinals",2024,"MLB",5377910,6
"Arizona Cardinals",2024,"OL",27491743,6
"Arizona Cardinals",2024,"QB",50120833,6
"Arizona Cardinals",2024,"RB",13046020,6
"Arizona Cardinals",2024,"S",33498244,6
"Arizona Cardinals",2024,"ST",3372265,6
"Arizona Cardinals",2024,"TE",3705961,6
"Arizona Cardinals",2024,"WR",13952361,6
"Atlanta Falcons",2021,"CB",6139915,7
"Atlanta Falcons",2021,"DL",29242629,7
"Atlanta Falcons",2021,"EDGE",14000511,7
