"Team","Year","Wins","CB","DL","EDGE","MLB","OL","QB","RB","S","ST","TE","WR","Other"
"Arizona Cardinals",2021,11,9165195,137317096,161954950,84113420,317600046,17.3194247437565,16.6762864812665,18.1020563920289,16.3743666197169,30163332,59018640,0
"Arizona Cardinals",2022,4,9165195,137317096,161954950,84113420,317600046,17.3194247437565,16.6762864812665,18.1020563920289,16.3743666197169,30163332,59018640,0
"Arizona Cardinals",2023,4,36384572,42396992,18381393,43761072,166376907,17.3326912233672,17.2774300939413,18.3975270029415,16.430495530805,11060312,22796960,0
"Arizona Cardinals",2024,6,53719775,127150984,41375292,16133730,274917430,18.4230944985016,17.7702880446568,18.713297946094,16.1297075709045,11117883,83714166,0
"Atlanta Falcons",2021,7,24559660,263183661,56002044,39956728,221780952,17.8323439457547,17.4593683519193,16.4769537999696,15.6563241247822,52351525,33129054,0
"Atlanta Falcons",2022,7,53118192,142860064,6770076,28420745,269571555,14.7105322999579,16.966566580174,16.98839211849,16.5598927526019,12387768,43233455,0
"Atlanta Falcons",2023,7,84949722,159591872,41651156,17519994,419495184,16.9221832206866,17.26033578606,17.7753010524269,17.0084530418569,104271564,52099355,0
"Atlanta Falcons",2024,6,115138695,233026409,61266556,60582800,537755640,17.8814720892881,17.2834541782114,17.8206234073472,17.1371234963782,42308535,85619680,0
"Baltimore Ravens",2021,8,51024540,172358598,45315400,34789690,131682438,16.2960567983028,15.8454102968151,17.1078197646441,16.8662043895922,52041080,99841595,0
"Baltimore Ravens",2022,10,140060520,86527238,27047514,34341965,313877295,18.0917321754264,17.7636713754396,17.9778639565584,16.7801843207759,49228324,12293056,0
"Baltimore Ravens",2023,13,94133310,129473421,1943616,106031754,484298010,18.4493458751442,17.3437124744127,17.7986963642122,16.9863877393279,4084612,82458402,0
"Baltimore Ravens",2024,8,139146725,56955668,57565155,69504130,308699919,18.0217691297161,18.089300127008,18.9775416721725,16.8157764391711,36037392,72030228,0
"Buffalo Bills",2021,11,21094564,478314881,45930441,30981324,304098246,17.0504438488965,17.1345075530593,18.0924463767192,16.2183402727183,3919182,151803309,0
"Buffalo Bills",2022,13,141785214,180802704,18649092,70520716,282789190,17.4979836098352,17.5235997185335,18.0714023210421,16.0205559175455,12883773,61832148,0
"Buffalo Bills",2023,11,128944592,436465788,0,33869805,312607665,17.4907362979086,16.8257304276551,18.1197473796655,16.4876343311257,28968831,123118715,0
"Buffalo Bills",2024,10,138377085,392794190,64135484,4399138,229643001,17.9854659137286,16.9849764926726,16.5487079674995,16.9530679050435,35293788,60525822,0
"Carolina Panthers",2021,5,72813440,173748213,60212775,3190022,104338980,17.3698311203286,15.9879688561079,17.5396005558165,15.334475472543,6530830,104209378,0
"Carolina Panthers",2022,7,18087468,156576680,52034229,22855556,288500290,17.4919631423827,16.6958230574082,17.3303739489857,16.2303075521798,8442620,106128120,0
"Carolina Panthers",2023,2,119478042,159198960,94420172,4760004,256088710,16.7095336970027,16.42777521963,18.2119979426759,16.4819397648754,10224006,52978182,0
"Carolina Panthers",2024,3,110099048,61466316,35707008,27127756,459705177,17.5861109108011,16.7539344829092,18.0491858971593,16.7752789132465,8730548,71671575,0
"Chicago Bears",2021,6,21032335,243175185,24297836,48192885,181075000,16.9653934970598,16.4668183292814,17.3691428912907,16.205419570768,36298888,104210895,0
"Chicago Bears",2022,3,13585350,150217317,27188310,705000,162883880,16.5004446964013,17.5287377603317,16.3997212952182,16.5128541136129,8545098,57078024,0
"Chicago Bears",2023,7,65349291,223516008,0,85791112,248287008,16.7987834345898,17.475878545689,18.2164839268015,16.865979896814,36032334,192738749,0
"Chicago Bears",2024,4,141852123,423441200,73351625,22437500,226877520,16.6008447727327,17.1169743777432,17.1319665297654,16.7448408685843,57180000,221897202,0
"Cincinnati Bengals",2021,10,223891654,433598352,1123998,12639850,226786065,17.1925891390411,17.5591646383417,17.7596543431011,16.0681472412815,24955740,138688095,0
"Cincinnati Bengals",2022,12,76703328,437086620,4896352,31058925,261978840,16.9128998727729,17.9167520317196,18.3647666955685,15.4865681734278,15925398,131966514,0
"Cincinnati Bengals",2023,9,122894574,388570878,1214378,78132744,445881330,14.5700655829535,17.6597338583706,15.7230319105848,15.899664354511,17618880,151203876,0
"Cincinnati Bengals",2024,4,58956050,618337370,50460868,16536666,313526568,17.9306050274294,15.8300292379905,17.7601167390589,16.342261479569,48733000,210440826,0
"Cleveland Browns",2021,8,55146812,170511183,28035024,1821666,266174568,16.5080334316378,17.9088288604286,17.5434607380224,15.7166222155141,45705771,110542320,0
"Cleveland Browns",2022,7,73868496,264800270,907440,7593452,298195722,17.6183610133776,17.7962168269558,17.6613091632925,16.2307898493068,15334095,51578574,0
"Cleveland Browns",2023,11,95840705,289804392,27652728,9249999,178567524,15.9192381661912,16.0359754200604,17.0043506320691,16.6370921619201,27552771,177266514,0
"Cleveland Browns",2024,3,120615888,331734393,19904150,5596556,411440112,15.5269881381394,17.4478765108257,17.7783850491969,16.4699851428646,36794994,52576760,0
"Denver Broncos",2021,7,125098170,111419991,43569532,19218280,95131576,15.4719738401386,17.428032426826,17.5115423976772,16.6839064955567,15583284,93220911,0
"Denver Broncos",2022,5,52650558,92312240,850168,39810130,134404128,17.8090675401098,16.3366055233447,18.3167975476319,16.6977241841696,9494283,83936790,0
"Denver Broncos",2023,8,81647699,144173118,3443668,110680619,294687108,17.7275335833924,17.1849327119277,17.9251897087517,16.3091292309648,20460004,153986880,0
"Denver Broncos",2024,8,127661282,182908806,26210284,29633400,380376252,17.4875629274608,16.8084904973191,17.2170263222706,16.6856796652323,14499999,44290560,0
"Detroit Lions",2021,3,5377122,72945971,11711751,13830665,244916780,17.5443175426849,17.1028169202392,17.8774077004034,15.4641662989321,1869966,25782816,0
"Detroit Lions",2022,9,77792675,131568843,67613844,35609105,343857170,17.980158259564,17.7168839773173,16.8854293327314,15.8761294345281,6009405,60972585,0
"Detroit Lions",2023,12,44065068,183039616,41699760,28111280,405115240,18.4446304465071,16.8559279146938,18.1100187234626,15.8315242947661,10775181,65742600,0
"Detroit Lions",2024,11,88254282,191037680,14306067,4714998,507585991,17.8589399472843,17.6176422882161,16.7682316194924,16.6484885802168,13223577,45065140,0
"Green Bay Packers",2021,13,80120033,110457528,145995080,15259464,236930900,17.906114449259,16.7113172420782,17.8331091639178,16.4285171370658,18847116,169681757,0
"Green Bay Packers",2022,8,77867118,78487230,71062155,46209140,329469811,17.971604583641,16.9324683793687,17.8007519985969,16.8692759099498,36341232,57077185,0
"Green Bay Packers",2023,9,94899900,92915575,116898875,55969945,161960895,16.1650396357965,17.5604645567997,16.7008774233655,15.9144584820837,18559224,36402684,0
"Green Bay Packers",2024,9,211350570,469757970,27240152,5431880,225375084,17.5965968131986,16.8651166709336,17.9038861915225,15.9061395362534,8655030,48791358,0
"Houston Texans",2021,4,72366954,155118414,32690440,15374667,92013352,18.0148006547515,16.8473053898695,17.8380871337704,16.9317997940574,21484380,62591142,0
"Houston Texans",2022,3,52647285,140696000,21755751,41339795,301995900,16.2637815770589,16.7784494070221,17.6253265369235,15.686799834124,13005000,49510432,0
"Houston Texans",2023,10,91956228,166661768,14050416,51039636,387743958,17.2908892257593,17.3041830507414,16.3957568568193,17.0634168125001,13420863,60577010,0
"Houston Texans",2024,8,88213795,442022174,21624368,21509556,417644505,16.9761432255769,17.0096879932254,18.1278101812007,16.9631556091092,17841798,132249564,0
"Indianapolis Colts",2021,9,99833646,385973580,14109684,18585128,403860700,18.0060335290314,17.1487371527758,16.9089499545394,16.1959819120945,29759571,107057608,0
"Indianapolis Colts",2022,4,64931935,357939140,9294698,17653120,373818096,18.0125723153488,15.2609578702891,16.7411379669962,15.9001464605626,42523975,41777635,0
"Indianapolis Colts",2023,9,73247586,384064551,8334000,31750000,440647713,16.0066449611134,17.1824324214823,16.6443393627847,16.9156028918876,21747720,33512210,0
"Indianapolis Colts",2024,6,66660210,421730510,22500000,19050000,439518636,17.5397759781322,17.4506727559519,17.122779055394,17.2015943356573,44639148,161766642,0
"Jacksonville Jaguars",2021,3,71804256,118265756,63373725,100329822,435483570,16.4146965571064,15.3046604248229,15.8935905481534,15.5955713638963,27144010,46134624,0
"Jacksonville Jaguars",2022,9,68696148,154781578,73519024,59244705,122735781,16.9145771408057,16.4429913515999,17.8765849725815,16.4204941289589,65780380,164993814,0
"Jacksonville Jaguars",2023,9,88923020,200869656,70955373,95513496,365219658,17.4017145827918,16.6352265148533,17.5178820093647,16.6580917102991,21423606,182198178,0
"Jacksonville Jaguars",2024,2,62561010,137626040,67046514,115439575,246314898,17.8214411600367,17.1663244417748,17.9315672141399,16.4647863578691,41886504,27983436,0
"Kansas City Chiefs",2021,12,39481755,417696849,8800698,53604544,129268611,17.1496819896234,17.2543628763092,18.3499408151062,16.7011408149123,27995478,127099722,0
"Kansas City Chiefs",2022,14,40068456,547133530,4441832,8385816,286358454,18.5678512101012,16.6650087575108,17.4836519829301,16.5051982622844,31187829,91028634,0
"Kansas City Chiefs",2023,11,69768202,446523190,1591101,36846835,257382396,18.1521821659971,16.4159023460043,17.6810008143431,17.119733973163,50015598,127952335,0
"Kansas City Chiefs",2024,11,50304882,354224270,36515520,3516733,668193460,18.1814759359283,17.1812149844086,17.733824811922,15.747395526661,44390382,59954655,0
"Los Angeles Chargers",2021,9,124679574,140746998,100109188,26695848,151047584,17.1068950081412,17.3239497146057,17.1447803732747,15.7714888527145,28280620,169307925,739445
"Los Angeles Chargers",2022,10,67659990,47931960,113237490,67660938,207029072,17.2446287343993,17.4742993191579,17.9962321237815,15.8538055733024,25650784,179743585,904445
