"Team","Year","Wins","CB","DL","EDGE","MLB","OL","QB","RB","S","ST","TE","WR","Other"
"Arizona Cardinals",2021,11,3055065,17164637,32390990,16822684,35288894,16.2208125152472,15.2899922918197,16.3102969915626,15.2757544858353,7540833,9836440,NA
"Arizona Cardinals",2022,4,3055065,17164637,32390990,16822684,35288894,16.2208125152472,15.2899922918197,16.3102969915626,15.2757544858353,7540833,9836440,NA
"Arizona Cardinals",2023,4,5197796,5299624,6127131,7293512,18486323,16.6395440724902,16.1788178680122,17.0112326725243,15.3318833884747,2765078,5699240,NA
"Arizona Cardinals",2024,6,10743955,15893873,10343823,5377910,27491743,17.7299473279175,16.3839937410257,17.3270036073633,15.0310954799274,3705961,13952361,NA
"Atlanta Falcons",2021,7,6139915,29242629,14000511,9989182,24642328,17.1391967832046,15.8499305440903,15.0906596483917,14.5577121534906,10470305,5521509,NA
"Atlanta Falcons",2022,7,8853032,17857508,3385038,5684149,29952395,14.0173855279966,15.5802723474748,15.3789543735868,15.4612805925098,3096942,8646691,NA
"Atlanta Falcons",2023,7,14158287,19948984,10412789,5839998,46610576,15.8235710215177,16.1617235612125,16.3890067485083,15.9098408352906,17378594,10419871,NA
"Atlanta Falcons",2024,6,16448385,33289487,15316639,12116560,53775564,17.1883249258746,15.8971599106348,16.7220111551235,16.0385112798992,14102845,17123936,NA
"Baltimore Ravens",2021,8,10204908,28726433,9063080,6957938,14631382,15.1974446770297,14.7467982708443,15.4983820008817,15.7675921955763,10408216,14263085,NA
"Baltimore Ravens",2022,10,28012104,12361034,9015838,6868393,34875255,16.9931199145484,16.1542335401661,16.3684261064078,15.6815721352624,12307081,3073264,NA
"Baltimore Ravens",2023,13,18826662,18496203,971808,17671959,48429801,17.0630515431766,15.9574182013658,16.412402058971,15.8877755345933,2042306,13743067,NA
"Baltimore Ravens",2024,8,27829345,14238917,11513031,13900826,34299991,17.3286219640581,16.4798622702895,17.1857822315947,15.7171642500507,18018696,12005038,NA
"Buffalo Bills",2021,11,5273641,43483171,15310147,7745331,33788694,16.3572967076994,15.5250697853816,16.4830085198257,15.1197281649734,1959591,21686187,NA
"Buffalo Bills",2022,13,23630869,22600338,6216364,17630179,28278919,16.8048364544359,15.9141619041968,16.4619644653298,14.9219438493684,4294591,15458037,NA
"Buffalo Bills",2023,11,18420656,39678708,NA,6773961,34734185,16.7975891426923,15.4394362143777,16.7334530590792,15.3890221806681,9656277,24623743,NA
"Buffalo Bills",2024,10,19768155,39279419,16033871,2199569,25515889,17.2923187486216,15.5986822576308,15.4500958088536,15.8544557031527,11764596,10087637,NA
"Carolina Panthers",2021,5,10401920,19305357,12042555,1595011,11593220,16.2712188888621,14.6016748366798,15.9301627399226,14.2358636217515,3265415,14887054,NA
"Carolina Panthers",2022,7,4521867,19572085,17344743,5713889,28850029,16.7988159871354,15.30952886464,15.720936155559,15.1316954422826,4221310,13266015,NA
"Carolina Panthers",2023,2,19913007,19899870,23605043,1586668,25608871,16.0163865717959,15.3291630776983,16.4202385350505,15.3833276152072,5112003,8829697,NA
"Carolina Panthers",2024,3,13762381,10244386,8926752,6781939,51078353,16.4874986682094,15.6553223001394,16.4397480427212,15.6766667282403,4365274,14334315,NA
"Chicago Bears",2021,6,4206467,27019465,12148918,9638577,18107500,16.272246359357,15.0805241798381,15.9828486160323,15.1068074653759,9074722,20842179,NA
"Chicago Bears",2022,3,2717070,16690813,4531385,705000,20360485,15.4018325441845,15.7369784130969,15.0134271604651,15.4142419597133,4272549,9513004,NA
"Chicago Bears",2023,7,9335613,27939501,NA,21447778,31035876,15.7001712471754,15.866440736147,16.8301896024778,15.7673677028193,12010778,27534107,NA
"Chicago Bears",2024,4,20264589,42344120,14670325,22437500,22687752,15.9076976538812,16.0183621627335,16.0333543136597,15.6462286867818,19060000,36982867,NA
"Cincinnati Bengals",2021,10,31984522,36133196,1123998,2527970,20616915,16.0939769186671,16.1728703482242,16.1502165081382,14.9695351628567,8318580,19812585,NA
"Cincinnati Bengals",2022,12,12783888,48565180,2448176,6211785,26197884,16.2197527373799,16.5304577202561,16.9784723661738,14.3879562608558,5308466,21994419,NA
"Cincinnati Bengals",2023,9,20482429,43174542,1214378,13022124,44588133,13.8769188726132,16.2734395614598,15.0298848784727,14.8010523146676,4404720,25200646,NA
"Cincinnati Bengals",2024,4,11791210,61833737,12615217,8268333,39190821,17.2374578631938,14.7314172160915,16.1506789040602,15.2436493507374,9746600,35073471,NA
"Cleveland Browns",2021,8,7878116,18945687,4672504,1821666,29574952,15.8148863187877,16.2993910147296,15.9340229217566,14.6180102256508,15235257,18423720,NA
"Cleveland Browns",2022,7,12311416,26480027,907440,1898363,33132858,16.5197487693236,16.4099225218532,16.2750148662806,15.1321777393234,5111365,8596429,NA
"Cleveland Browns",2023,11,19168141,32200488,6913182,3083333,19840836,14.8206261215247,14.9373633485096,15.3949128845136,15.5384799922755,9184257,29544419,NA
"Cleveland Browns",2024,3,20102648,36859377,3980830,2798278,45715568,14.8338411381782,16.0615822290663,16.1689472127964,15.371372994868,12264998,10515352,NA
"Dallas Cowboys",2021,12,15168862,37442754,7726833,2628889,31427606,16.7125269137667,15.9873857598664,15.154059533943,15.3237189659079,8086987,29922965,NA
"Dallas Cowboys",2022,12,8283342,26520041,6811348,3819527,38406080,16.8499693360321,16.8003223697402,15.9680141142606,15.1393373187757,13069163,11836591,NA
"Dallas Cowboys",2023,12,22290591,38214685,4658125,930638,33950415,17.2132903730595,16.2910120341072,16.56832556249,15.4214425317715,2786170,20215530,NA
"Dallas Cowboys",2024,5,19672073,19345823,4986573,2941165,17445478,15.9179011198897,15.4496412781107,16.3227388818066,15.5849393771376,3652136,23477124,NA
"Denver Broncos",2021,7,20849695,12379999,10892383,3843656,11891447,14.7788268503912,16.3294201921253,15.9021045845304,15.5852943204684,5194428,13317273,NA
"Denver Broncos",2022,5,8775093,11539030,850168,7962026,14933792,16.7104552883097,14.9503114033395,16.9305032197961,15.5991120075228,3164761,11990970,NA
"Denver Broncos",2023,8,11663957,24028853,1721834,15811517,32743012,17.0343864228325,15.7986384540363,16.8265774529096,15.2105171075176,5115001,25664480,NA
"Denver Broncos",2024,8,18237326,30484801,6552571,5926680,42264028,16.3889506896412,15.4221962866126,15.8307320611189,15.5870674899428,4833333,11072640,NA
"Detroit Lions",2021,3,1792374,10420853,3903917,2766133,24491678,16.4457053020597,15.4933791572225,15.7979662792379,14.3655543948804,623322,4297136,NA
"Detroit Lions",2022,9,15558535,18795549,16903461,7121821,34385717,17.2870110945392,16.1074461457397,15.4991351108862,14.7775174006102,2003135,12194517,NA
"Detroit Lions",2023,12,7344178,22879952,10424940,7027820,50639405,17.3460181773656,15.7573157216556,16.5005808656017,14.7329122724686,3591727,13148520,NA
"Detroit Lions",2024,11,14709047,19103768,4768689,1571666,46144181,17.1657927842616,16.2313479940656,15.381937414965,15.5498764092235,4407859,11266285,NA
"Green Bay Packers",2021,13,11445719,13807191,29199016,3814866,23693090,17.2129672854282,15.612705063919,16.2236713234682,15.3299049950253,4711779,24240251,NA
"Green Bay Packers",2022,8,12977853,15697446,14212431,9241828,29951801,17.2784574187497,15.833856179284,16.4144576932408,15.7706637156436,9085308,11415437,NA
"Green Bay Packers",2023,9,15816650,18583115,23379775,11193989,17995655,15.4718925506506,16.17417026659,15.3145832297485,14.8158464385862,4639806,6067114,NA
"Green Bay Packers",2024,9,35225095,52195330,6810038,2715940,25041676,16.9034496554366,15.7665044770206,16.2944483461541,14.807527494804,2885010,8131893,NA
"Houston Texans",2021,4,12061159,14101674,6538088,5124889,11501669,16.9161883960958,15.7486931976594,16.4517928263708,15.8331875940319,5371095,10431857,NA
"Houston Texans",2022,3,10529457,17587000,7251917,8267959,33555100,15.1651694612766,15.3921552009028,16.0158887130984,14.9936528074891,3251250,12377608,NA
"Houston Texans",2023,10,15326038,20832721,7025208,8506606,43082662,16.1922769989914,15.9178887812457,15.0094627229655,15.9648046015429,4473621,12115402,NA
"Houston Texans",2024,8,17642759,40183834,5406092,7169852,46404945,16.2829960874159,15.9110757865578,16.5183723223774,15.8645434063475,8920899,22041594,NA
"Indianapolis Colts",2021,9,16638941,38597358,3527421,9292564,40386070,16.90742127064,15.7624428986893,15.2995122234882,15.0973698084403,9919857,15293944,NA
"Indianapolis Colts",2022,4,12986387,35793914,4647349,4413280,41535344,16.91396005676,14.1623460529022,15.3548437667694,14.8015344205992,8504795,8355527,NA
"Indianapolis Colts",2023,9,12207931,42673839,4167000,6350000,48960857,15.3134978923433,15.7961381638494,15.0349016866786,15.8169906933095,7249240,6702442,NA
"Indianapolis Colts",2024,6,11110035,42173051,7500000,9525000,48835404,16.4411637377257,16.3520605200431,15.7364848041222,16.1029821146711,11159787,26961107,NA
"Jacksonville Jaguars",2021,3,11967376,16895108,12674745,16721637,43548357,15.7215494508805,13.9183667403957,14.7949785098259,14.2092775086599,5428802,7689104,NA
"Jacksonville Jaguars",2022,9,11449358,22111654,18379756,11848941,17533683,16.221430005337,15.3443792074523,16.4902906631531,15.3218819880994,16445095,27498969,NA
"Jacksonville Jaguars",2023,9,17784604,25108707,23651791,15918916,40579962,16.3031023495303,15.5366143454309,16.1315877222397,15.5594795381811,7141202,30366363,NA
"Jacksonville Jaguars",2024,2,12512202,17203255,22348838,23087915,27368322,16.7228289077833,15.7800301858223,16.3221293669406,15.3661742106058,10471626,6995859,NA
"Kansas City Chiefs",2021,12,7896351,46410761,2933566,13401136,14363179,16.0510697722435,15.6449250922811,16.9636464861854,15.6025286378834,9331826,21183287,NA
"Kansas City Chiefs",2022,14,6678076,54713353,2220916,2795272,31817606,17.469238938696,15.278714570011,16.0973576983818,15.4065861094205,10395943,15171439,NA
"Kansas City Chiefs",2023,11,9966886,44652319,1591101,7369367,28598044,17.4590349985172,15.3172902058251,16.5823885675803,16.0211217579504,16671866,18278905,NA
"Kansas City Chiefs",2024,11,8384147,35422427,7303104,3516733,60744860,17.4883287680708,15.5717772101252,16.635212563003,14.6487835277426,22195191,11990931,NA
"Las Vegas Raiders",2021,10,6426585,28368955,3474996,8776470,26217782,17.0590790344472,15.69414533937,15.1438399447676,15.6168722776706,8688765,5538787,NA
"Las Vegas Raiders",2022,6,3364359,27018980,NA,1980831,13808628,16.8319438296683,16.1270987016001,15.3914235374481,15.7991906430297,14722098,18701487,NA
"Las Vegas Raiders",2023,8,4165260,32040957,1358409,5236834,32391888,15.9884818317553,16.657591993416,15.9604974184782,15.9239040430268,2854444,35121656,NA
"Las Vegas Raiders",2024,2,7227847,44842091,6912842,6112313,32742557,14.4148732941933,15.4024234768235,15.8478741188518,16.0446644804919,9173032,11476421,NA
"Los Angeles Chargers",2021,9,20779929,20106714,25027297,6673962,18880948,16.0082827938777,15.9376554433167,15.7584861196126,14.6728768468984,7070155,33861585,739445
"Los Angeles Chargers",2022,10,13531998,7988660,37745830,11276823,25878634,16.1460165105622,16.0880050353291,16.3867942724973,14.7551935451355,6412696,35948717,904445
"Los Angeles Chargers",2023,5,13929831,14613903,18118966,11417976,14417802,14.1442155647466,16.1190276165435,16.4641098606671,15.1305776782521,10853888,18914487,1019445
